time,"V(VIN)","I(ROUT)","P(B01)","P(B02)"
7.775000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.800000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.825000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.850000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.875000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.900000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.925000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.950000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
7.975000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.000000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.025000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.050000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.075000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.100000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.125000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.150000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.175000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.200000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.225000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.250000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.275000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.300000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.325000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.350000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.375000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.400000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.425000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.450000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.475000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.500000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.525000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.550000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.575000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.600000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
8.625000e-11,0.000000e+00,0.000000e+00,4.046324e-01,6.155778e-01
